mutation_id;num_disposition;date_mutation;valeur_fonciere;local_id
27237;1;15/01/2020;855400;6176
27238;1;27/05/2020;85550;1570
27239;1;25/05/2020;85600;6556
27240;1;27/04/2020;856190;14115
27241;1;20/03/2020;85645;1521
27242;1;10/01/2020;85650;819
27243;1;15/05/2020;85650;5249
27244;1;12/06/2020;85650;4277
27245;1;26/06/2020;85650;4294
27246;1;30/04/2020;85680;798
27247;1;23/01/2020;856800;5237
27248;1;20/02/2020;85700;5793
27249;1;28/05/2020;85700;1361
27250;1;24/06/2020;85700;6177
27251;1;03/04/2020;857369;10479
27252;1;29/01/2020;85750;10167
27253;1;30/03/2020;857600;14759
27254;1;22/01/2020;8577713;17721
27255;1;03/01/2020;857950;14156
27256;1;08/01/2020;85800;8209
27257;1;26/03/2020;85800;1275
27258;1;11/03/2020;85850;5901
27259;1;27/04/2020;858500;11676
27260;1;22/05/2020;858750;13889
27261;1;18/02/2020;85900;1461
27262;1;28/02/2020;85900;13609
27263;1;20/03/2020;85900;6160
27264;1;16/03/2020;859000;16837
27265;1;08/06/2020;859000;11490
27266;1;22/04/2020;859100;6840
27267;1;18/06/2020;859250;6830
27268;1;28/02/2020;85940;13868
27269;1;10/02/2020;85990;2901
27270;1;06/01/2020;86000;6828
27271;1;10/01/2020;86000;1439
27272;1;15/01/2020;86000;8911
27273;1;20/01/2020;86000;5526
27274;1;23/01/2020;86000;4308
27275;1;28/01/2020;86000;5352
27276;1;29/01/2020;86000;137
27277;1;31/01/2020;86000;13210
27278;1;01/02/2020;86000;16036
27279;1;05/02/2020;86000;1427
27280;1;06/02/2020;86000;3258
27281;1;07/02/2020;86000;1047
27282;1;13/02/2020;86000;9724
27283;1;19/02/2020;86000;1079
27284;1;20/02/2020;86000;3322
27285;1;22/02/2020;86000;9722
27286;1;24/02/2020;86000;7926
27287;2;24/02/2020;86000;4570
27288;1;26/02/2020;86000;171
27289;1;28/02/2020;86000;1547
27290;1;02/03/2020;86000;4576
27291;1;04/03/2020;86000;629
27292;1;10/03/2020;86000;15830
27293;1;12/03/2020;86000;13409
27294;1;13/03/2020;86000;10222
27295;1;26/03/2020;86000;3646
27296;1;15/04/2020;86000;10422
27297;1;16/04/2020;86000;7751
27298;1;30/04/2020;86000;13677
27299;1;06/05/2020;86000;5723
27300;1;07/05/2020;86000;4597
27301;1;11/05/2020;86000;5655
27302;1;14/05/2020;86000;9427
27303;1;15/05/2020;86000;5388
27304;1;18/05/2020;86000;2493
27305;1;19/05/2020;86000;509
27306;1;20/05/2020;86000;1249
27307;1;25/05/2020;86000;2250
27308;1;26/05/2020;86000;9401
27309;1;27/05/2020;86000;6093
27310;1;28/05/2020;86000;230
27311;1;03/06/2020;86000;4165
27312;1;04/06/2020;86000;8176
27313;1;10/06/2020;86000;9209
27314;1;11/06/2020;86000;1670
27315;1;12/06/2020;86000;13161
27316;1;17/06/2020;86000;1135
27317;1;29/06/2020;86000;3040
27318;1;31/01/2020;860000;13337
27319;1;05/02/2020;860000;12511
27320;1;03/06/2020;860000;10414
27321;1;08/06/2020;860000;10409
